,graph_family,n,p,seed,gamma_plot,gamma_start,gamma_end,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass
107,erdos_renyi,8,2,2,1.5,0.0,1.5,0.8148099999999999,0.8119100000000001,0.81983,0.4276
108,erdos_renyi,8,2,2,2.0,0.0,2.0,0.8141399999999999,0.8111379999999999,0.8188700000000001,0.4284
109,erdos_renyi,8,2,2,3.0,0.0,3.0,0.8129900000000001,0.8101459999999999,0.8180799999999999,0.4279
110,erdos_renyi,8,2,2,4.0,0.0,4.0,0.81251,0.809732,0.8171200000000003,0.42769999999999997
111,erdos_renyi,8,2,2,5.0,0.0,5.0,0.8122499999999999,0.8095930000000001,0.8169799999999998,0.42779999999999996
112,erdos_renyi,8,2,2,6.0,0.0,6.0,0.81212,0.809507,0.8157999999999997,0.42769999999999997
113,erdos_renyi,8,2,2,7.0,0.0,7.0,0.8121199999999998,0.8094809999999999,0.81586,0.42769999999999997
114,erdos_renyi,8,2,2,8.0,0.0,8.0,0.81212,0.809456,0.81587,0.42769999999999997
115,erdos_renyi,8,2,2,10.0,0.0,10.0,0.8122499999999999,0.809467,0.8157099999999999,0.42779999999999996
116,erdos_renyi,8,2,2,12.0,0.0,12.0,0.8122300000000001,0.809518,0.81509,0.42789999999999995
117,erdos_renyi,8,2,2,14.0,0.0,14.0,0.8122,0.809642,0.8147500000000001,0.42789999999999995
118,erdos_renyi,8,2,2,16.0,0.0,16.0,0.8120799999999999,0.809689,0.8146000000000001,0.42779999999999996
119,erdos_renyi,8,2,2,18.0,0.0,18.0,0.8121,0.8098179999999999,0.8146699999999999,0.42769999999999997
120,erdos_renyi,8,2,2,24.0,0.0,24.0,0.8127700000000001,0.810043,0.8145599999999998,0.4275
121,erdos_renyi,8,2,2,32.0,0.0,32.0,0.8129899999999999,0.8098449999999999,0.8139199999999999,0.4275
122,erdos_renyi,8,2,2,45.0,0.0,45.0,0.81257,0.8097720000000003,0.8152200000000001,0.427
123,erdos_renyi,8,2,2,55.0,0.0,55.0,0.81358,0.8101579999999998,0.81654,0.4276
124,erdos_renyi,8,2,2,64.0,0.0,64.0,0.8137599999999999,0.8106679999999999,0.8174700000000001,0.4273
125,erdos_renyi,8,2,2,128.0,0.0,128.0,0.8068500000000001,0.8054,0.80948,0.414
126,erdos_renyi,8,2,2,256.0,0.0,256.0,0.77178,0.771606,0.7762800000000001,0.36419999999999997
127,erdos_renyi,8,2,2,512.0,0.0,512.0,0.70087,0.701843,0.7071299999999999,0.265
128,erdos_renyi,8,2,2,1024.0,0.0,1024.0,0.64725,0.649088,0.65456,0.1849
129,erdos_renyi,8,2,3,0.0,0.0,0.0,0.5782555555555555,0.5790688888888889,0.5841999999999999,0.0091
130,erdos_renyi,8,2,3,0.25,0.0,0.25,0.5775222222222223,0.5784788888888889,0.5840666666666666,0.0089
131,erdos_renyi,8,2,3,0.33,0.0,0.33,0.5770333333333333,0.5781577777777779,0.5838777777777778,0.0091
132,erdos_renyi,8,2,3,0.38,0.0,0.38,0.5768,0.577808888888889,0.5831444444444445,0.0089
133,erdos_renyi,8,2,3,0.4,0.0,0.4,0.5775888888888888,0.5778877777777778,0.5833222222222223,0.0088
134,erdos_renyi,8,2,3,0.5,0.0,0.5,0.5769555555555557,0.5775188888888888,0.5834,0.0086
135,erdos_renyi,8,2,3,0.56,0.0,0.56,0.5761111111111111,0.57733,0.5832222222222223,0.0089
136,erdos_renyi,8,2,3,0.6,0.0,0.6,0.5761777777777778,0.5771544444444445,0.5828111111111112,0.0091
137,erdos_renyi,8,2,3,0.64,0.0,0.64,0.575911111111111,0.5770655555555556,0.5835444444444444,0.009000000000000001
138,erdos_renyi,8,2,3,0.7,0.0,0.7,0.5764222222222222,0.5768411111111111,0.5833111111111111,0.0091
139,erdos_renyi,8,2,3,0.74,0.0,0.74,0.5760000000000001,0.5767366666666668,0.5834333333333334,0.009000000000000001
140,erdos_renyi,8,2,3,0.8,0.0,0.8,0.5760666666666666,0.576358888888889,0.5835444444444444,0.0085
141,erdos_renyi,8,2,3,0.85,0.0,0.85,0.5757222222222222,0.5762322222222223,0.5827111111111112,0.0086
142,erdos_renyi,8,2,3,0.9,0.0,0.9,0.5761333333333334,0.5759766666666666,0.5828555555555556,0.0091
143,erdos_renyi,8,2,3,1.0,0.0,1.0,0.5758444444444444,0.5758088888888888,0.5828111111111112,0.008199999999999999
144,erdos_renyi,8,2,3,1.1,0.0,1.1,0.5752666666666667,0.5757377777777778,0.5828777777777778,0.0077
145,erdos_renyi,8,2,3,1.2,0.0,1.2,0.5754111111111111,0.5755866666666667,0.5826444444444445,0.0078
146,erdos_renyi,8,2,3,1.25,0.0,1.25,0.5762,0.5756766666666666,0.5828111111111112,0.0081
147,erdos_renyi,8,2,3,1.28,0.0,1.28,0.5753111111111111,0.57521,0.5825666666666667,0.008
148,erdos_renyi,8,2,3,1.3,0.0,1.3,0.5753111111111111,0.5751455555555556,0.5828777777777777,0.008
149,erdos_renyi,8,2,3,1.4,0.0,1.4,0.5747333333333332,0.5750455555555555,0.5827222222222223,0.0075
150,erdos_renyi,8,2,3,1.5,0.0,1.5,0.5744555555555555,0.5746899999999999,0.5827000000000001,0.007
151,erdos_renyi,8,2,3,2.0,0.0,2.0,0.5719888888888889,0.5729566666666666,0.5823777777777778,0.0069
