,iteration,loss,mean_cut,mean_ratio,best_ratio_step,best_ratio_so_far,best_cut_so_far,optimal_mass,gamma,lr,grad_norm,circuit_evals,shots_used,graph_family,n,p,seed,objective,mode
98,99,2.3271484375,12.591796875,0.839453125,1.0,1.0,15,0.103515625,,0.013919331903323711,1.4348451728900975,1386,1419264,erdos_renyi,14,3,0,Expectation,sampled
99,100,2.3828125,12.720703125,0.848046875,1.0,1.0,15,0.095703125,,0.01384695494824947,0.9209926714776439,1400,1433600,erdos_renyi,14,3,0,Expectation,sampled
100,101,2.3662109375,12.59765625,0.83984375,1.0,1.0,15,0.095703125,,0.0137756286626037,0.7318011692768608,1414,1447936,erdos_renyi,14,3,0,Expectation,sampled
101,102,2.35546875,12.65625,0.84375,1.0,1.0,15,0.119140625,,0.013705328186835307,0.8638102433964759,1428,1462272,erdos_renyi,14,3,0,Expectation,sampled
102,103,2.3857421875,12.6943359375,0.8462890625,1.0,1.0,15,0.1103515625,,0.013636029472725771,0.40157741415032805,1442,1476608,erdos_renyi,14,3,0,Expectation,sampled
103,104,2.37890625,12.6064453125,0.8404296875,1.0,1.0,15,0.08984375,,0.013567709249760092,0.7586878803596951,1456,1490944,erdos_renyi,14,3,0,Expectation,sampled
104,105,2.361328125,12.6826171875,0.8455078125,1.0,1.0,15,0.1064453125,,0.013500344993182659,0.9900773806145113,1470,1505280,erdos_renyi,14,3,0,Expectation,sampled
105,106,2.2978515625,12.619140625,0.8412760416666667,1.0,1.0,15,0.087890625,,0.013433914893639267,0.5460259522359141,1484,1519616,erdos_renyi,14,3,0,Expectation,sampled
106,107,2.328125,12.595703125,0.8397135416666667,1.0,1.0,15,0.1025390625,,0.013368397828313172,0.7804396432025532,1498,1533952,erdos_renyi,14,3,0,Expectation,sampled
107,108,2.388671875,12.5498046875,0.8366536458333333,1.0,1.0,15,0.0888671875,,0.013303773333469191,1.0613927120230955,1512,1548288,erdos_renyi,14,3,0,Expectation,sampled
108,109,2.3291015625,12.6845703125,0.8456380208333333,1.0,1.0,15,0.10546875,,0.013240021578325444,0.942823427596599,1526,1562624,erdos_renyi,14,3,0,Expectation,sampled
109,110,2.3466796875,12.7353515625,0.8490234375,1.0,1.0,15,0.1162109375,,0.013177123340177664,0.4618335355283053,1540,1576960,erdos_renyi,14,3,0,Expectation,sampled
110,111,2.3994140625,12.6376953125,0.8425130208333333,1.0,1.0,15,0.0986328125,,0.013115059980705803,0.8065135199873357,1554,1591296,erdos_renyi,14,3,0,Expectation,sampled
111,112,2.3115234375,12.599609375,0.8399739583333333,1.0,1.0,15,0.099609375,,0.013053813423397185,0.7298934221198384,1568,1605632,erdos_renyi,14,3,0,Expectation,sampled
112,113,2.28515625,12.634765625,0.8423177083333333,1.0,1.0,15,0.1005859375,,0.01299336613202461,0.7553620982112237,1582,1619968,erdos_renyi,14,3,0,Expectation,sampled
113,114,2.4248046875,12.6171875,0.8411458333333334,1.0,1.0,15,0.1083984375,,0.01293370109012175,0.748321562450018,1596,1634304,erdos_renyi,14,3,0,Expectation,sampled
114,115,2.3173828125,12.7431640625,0.8495442708333333,1.0,1.0,15,0.0986328125,,0.012874801781401725,0.47309187053758384,1610,1648640,erdos_renyi,14,3,0,Expectation,sampled
115,116,2.2861328125,12.5009765625,0.8333984375,1.0,1.0,15,0.095703125,,0.01281665217106813,0.7586074277860627,1624,1662976,erdos_renyi,14,3,0,Expectation,sampled
116,117,2.478515625,12.6552734375,0.8436848958333333,1.0,1.0,15,0.10546875,,0.012759236687970918,1.324866032575543,1638,1677312,erdos_renyi,14,3,0,Expectation,sampled
117,118,2.4443359375,12.66015625,0.8440104166666667,1.0,1.0,15,0.0966796875,,0.012702540207562401,0.513444393248671,1652,1691648,erdos_renyi,14,3,0,Expectation,sampled
118,119,2.318359375,12.572265625,0.8381510416666667,1.0,1.0,15,0.1044921875,,0.012646548035611395,0.6877808430729546,1666,1705984,erdos_renyi,14,3,0,Expectation,sampled
119,120,2.4462890625,12.5869140625,0.8391276041666667,1.0,1.0,15,0.1083984375,,0.012591245892635996,1.0445498936315318,1680,1720320,erdos_renyi,14,3,0,Expectation,sampled
120,121,2.361328125,12.705078125,0.8470052083333334,1.0,1.0,15,0.1015625,,0.012536619899017894,0.6347738881673701,1694,1734656,erdos_renyi,14,3,0,Expectation,sampled
121,122,2.416015625,12.6123046875,0.8408203125,1.0,1.0,15,0.09375,,0.012482656560763254,0.8444725051478487,1708,1748992,erdos_renyi,14,3,0,Expectation,sampled
122,123,2.3974609375,12.6640625,0.8442708333333333,1.0,1.0,15,0.0947265625,,0.012429342755877289,0.8489906601319065,1722,1763328,erdos_renyi,14,3,0,Expectation,sampled
