,graph_family,n,p,seed,gamma_plot,gamma_raw,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass
116,erdos_renyi,8,2,3,0.5,0.5,0.5786666666666667,0.5771555555555556,0.5823555555555555,0.0078
117,erdos_renyi,8,2,3,0.56,0.56,0.5781111111111111,0.5767622222222222,0.5826222222222223,0.0078
118,erdos_renyi,8,2,3,0.6,0.6,0.5778666666666668,0.5768311111111112,0.5814,0.0078
119,erdos_renyi,8,2,3,0.64,0.64,0.5774666666666667,0.5767044444444445,0.5804666666666667,0.0078
120,erdos_renyi,8,2,3,0.7,0.7,0.5778666666666666,0.5763066666666667,0.5817111111111112,0.007599999999999999
121,erdos_renyi,8,2,3,0.74,0.74,0.5777111111111112,0.5759044444444446,0.5816444444444444,0.007599999999999999
122,erdos_renyi,8,2,3,0.8,0.8,0.5775555555555556,0.5758711111111111,0.5825111111111112,0.0078
123,erdos_renyi,8,2,3,0.85,0.85,0.5773333333333334,0.5760022222222223,0.5824444444444444,0.0078
124,erdos_renyi,8,2,3,0.9,0.9,0.5774444444444444,0.576,0.5823333333333334,0.0078
125,erdos_renyi,8,2,3,1.0,1.0,0.5762444444444443,0.5756933333333333,0.582288888888889,0.006999999999999999
126,erdos_renyi,8,2,3,1.1,1.1,0.5757111111111111,0.5757311111111111,0.5823111111111111,0.0072
127,erdos_renyi,8,2,3,1.2,1.2,0.5754888888888889,0.57542,0.583488888888889,0.0072
128,erdos_renyi,8,2,3,1.25,1.25,0.5757333333333333,0.5755266666666666,0.5830444444444445,0.0072
129,erdos_renyi,8,2,3,1.28,1.28,0.5742222222222223,0.5744000000000001,0.5828222222222222,0.0056
130,erdos_renyi,8,2,3,1.3,1.3,0.5755111111111112,0.5753466666666667,0.5827777777777777,0.0066
131,erdos_renyi,8,2,3,1.35,1.35,0.5741777777777778,0.5744111111111112,0.5823777777777779,0.006
132,erdos_renyi,8,2,3,1.4,1.4,0.5750666666666667,0.5749155555555555,0.5816666666666666,0.0063999999999999994
133,erdos_renyi,8,2,3,1.5,1.5,0.5718888888888889,0.5734222222222223,0.5810888888888889,0.006
134,erdos_renyi,8,2,3,1.8,1.8,0.5724666666666667,0.5730488888888889,0.5812,0.0076
135,erdos_renyi,8,2,3,2.2,2.2,0.8076444444444445,0.8055911111111109,0.8109555555555555,0.23120000000000002
136,erdos_renyi,8,2,3,2.6,2.6,0.8061111111111112,0.8045644444444445,0.8107333333333333,0.2314
137,erdos_renyi,8,2,3,3.0,3.0,0.8052444444444444,0.8039288888888889,0.8103111111111111,0.2304
138,erdos_renyi,8,2,3,4.0,4.0,0.8033777777777779,0.8027355555555555,0.8086666666666668,0.2268
139,erdos_renyi,8,2,3,5.0,5.0,0.800088888888889,0.7976088888888889,0.8031555555555555,0.22060000000000002
140,erdos_renyi,8,2,3,6.0,6.0,0.7900888888888888,0.7809977777777777,0.7900888888888888,0.2022
141,erdos_renyi,8,2,3,7.0,7.0,0.7528,0.7222577777777777,0.7528,0.1688
142,erdos_renyi,8,2,3,8.0,8.0,0.6375111111111111,0.6174266666666668,0.6375111111111111,0.0864
143,erdos_renyi,8,2,3,10.0,10.0,0.5742222222222223,0.5702,0.5811111111111111,0.0536
144,erdos_renyi,8,2,3,12.0,12.0,0.5597333333333333,0.5586444444444444,0.5812222222222222,0.0412
145,erdos_renyi,8,2,3,14.0,14.0,0.5549777777777778,0.5568088888888889,0.5808444444444445,0.0348
146,erdos_renyi,8,2,3,16.0,16.0,0.5584888888888889,0.5598377777777778,0.5812666666666667,0.029
147,erdos_renyi,8,2,3,18.0,18.0,0.5629555555555555,0.5642044444444444,0.5820000000000001,0.0228
148,erdos_renyi,8,2,4,0.0,0.0,0.76722,0.768812,0.7721399999999999,0.15380000000000002
149,erdos_renyi,8,2,4,0.25,0.25,0.76178,0.75861,0.76178,0.1536
150,erdos_renyi,8,2,4,0.33,0.33,0.7624000000000001,0.760264,0.76388,0.1568
151,erdos_renyi,8,2,4,0.38,0.38,0.76356,0.762456,0.7653800000000001,0.15579999999999997
152,erdos_renyi,8,2,4,0.4,0.4,0.7618,0.760316,0.7632800000000001,0.1564
153,erdos_renyi,8,2,4,0.5,0.5,0.9030000000000001,0.9029320000000001,0.90822,0.39339999999999997
