task_id,method,control_index,control_r,alpha,one_minus_alpha,gamma,graph_family,n,p,graph_seed,init_id,init_seed,device_seed,initial_parameters,final_parameters,final_objective_loss,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,best_ratio_so_far,final_optimal_mass,shots,steps,tail_window,optimizer_learning_rate,optimizer_learning_rate_decay_power,optimizer_learning_rate_decay_offset,optimizer_momentum,optimizer_gradient_clip,optimizer_tilt_learning_rate_penalty,simulator
QTL|r=0.45593195565|erdos_renyi|g=0|init=0,QTL,4,0.4559319556497244,0.35,0.65,1.8237278225988975,erdos_renyi,8,2,0,0,20262429,910400,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[2.7095981648445093, 0.9105652580045888, 3.3883007401635674, 4.435505142541655]",0.4531530931688478,0.8694857142857142,0.8695742857142857,0.8753428571428571,1.0,0.362,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.45593195565|erdos_renyi|g=0|init=1,CVaR,4,0.4559319556497244,0.35,0.65,1.8237278225988975,erdos_renyi,8,2,0,1,20262430,910401,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]","[4.489766276414559, 3.291866736638682, 5.053402978859288, 1.2236053622176124]",1.487428571428571,0.5812857142857143,0.5801857142857143,0.5891714285714286,1.0,0.0288,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.45593195565|erdos_renyi|g=0|init=1,QTL,4,0.4559319556497244,0.35,0.65,1.8237278225988975,erdos_renyi,8,2,0,1,20262430,910401,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]","[4.3406574793686525, 3.6472448948829195, 5.64566756449284, 0.6392047655835494]",1.2406834687949921,0.6192571428571428,0.6158371428571429,0.619942857142857,1.0,0.0718,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.45593195565|erdos_renyi|g=0|init=2,CVaR,4,0.4559319556497244,0.35,0.65,1.8237278225988975,erdos_renyi,8,2,0,2,20262431,910402,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]","[0.27877814373763565, 3.686863833845958, 1.1218239126361407, 2.9112879909866893]",0.0,0.8854571428571428,0.8842314285714286,0.8896285714285713,1.0,0.37460000000000004,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.45593195565|erdos_renyi|g=0|init=2,QTL,4,0.4559319556497244,0.35,0.65,1.8237278225988975,erdos_renyi,8,2,0,2,20262431,910402,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]","[0.32959170642856284, 3.7639453643611573, 1.0552166043091649, 2.8463633475866525]",0.38562988665050796,0.8814000000000001,0.8825428571428573,0.8888285714285714,1.0,0.42319999999999997,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.45593195565|erdos_renyi|g=0|init=3,CVaR,4,0.4559319556497244,0.35,0.65,1.8237278225988975,erdos_renyi,8,2,0,3,20262432,910403,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]","[3.4228013102848087, 3.6788945694801747, 2.6926036645830593, 1.3375264535682259]",0.0,0.8850857142857143,0.88278,0.8877142857142858,1.0,0.3762,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.45593195565|erdos_renyi|g=0|init=3,QTL,4,0.4559319556497244,0.35,0.65,1.8237278225988975,erdos_renyi,8,2,0,3,20262432,910403,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]","[4.060317148555671, 3.748395545070177, 2.6999847083297515, 1.9561605875913972]",1.2453431104933708,0.6380285714285715,0.6395285714285713,0.6468857142857143,1.0,0.06620000000000001,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.45593195565|erdos_renyi|g=0|init=4,CVaR,4,0.4559319556497244,0.35,0.65,1.8237278225988975,erdos_renyi,8,2,0,4,20262433,910404,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]","[1.6101067077523403, 5.124491267350877, 5.920192149348786, 4.310492714612237]",0.3720000000000001,0.795457142857143,0.7996714285714286,0.8063714285714286,1.0,0.2198,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.45593195565|erdos_renyi|g=0|init=4,QTL,4,0.4559319556497244,0.35,0.65,1.8237278225988975,erdos_renyi,8,2,0,4,20262433,910404,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]","[1.6131002169018798, 5.1124036487147535, 5.938711719857691, 4.308943728552075]",0.6784278471268188,0.7991142857142857,0.8012257142857143,0.8053428571428572,1.0,0.219,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.698970004336|erdos_renyi|g=0|init=0,CVaR,5,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,0,0,20262429,910500,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[2.8129445618652937, 0.7636750972794755, 3.3565485523044205, 4.546102424588199]",0.0,0.8543714285714287,0.8556971428571428,0.8610571428571429,1.0,0.279,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.698970004336|erdos_renyi|g=0|init=0,QTL,5,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,0,0,20262429,910500,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[2.7216999700491025, 0.8923623673600399, 3.389710187222449, 4.429738809997295]",0.33431845003243826,0.8695142857142858,0.869822857142857,0.8740571428571428,1.0,0.36560000000000004,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
