graph_family,n,p,seed,objective,init_id,init_seed,init_params,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass,gamma_plot,gamma_start,gamma_end
erdos_renyi,8,2,1,QTL linear schedule to 0.80,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8699600000000001,0.8694980000000001,0.87554,0.13019999999999998,0.8,0.0,0.8
erdos_renyi,8,2,1,QTL linear schedule to 0.80,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6652799999999999,0.6649999999999999,0.6784,0.0018,0.8,0.0,0.8
erdos_renyi,8,2,1,QTL linear schedule to 0.80,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.82334,0.8230439999999998,0.8300599999999999,0.0664,0.8,0.0,0.8
erdos_renyi,8,2,1,QTL linear schedule to 1.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8701599999999999,0.8679540000000001,0.87562,0.13219999999999998,1.0,0.0,1.0
erdos_renyi,8,2,1,QTL linear schedule to 1.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.66202,0.662466,0.6789799999999999,0.0031999999999999997,1.0,0.0,1.0
erdos_renyi,8,2,1,QTL linear schedule to 1.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8701799999999998,0.867976,0.87538,0.13219999999999998,1.0,0.0,1.0
erdos_renyi,8,2,1,QTL linear schedule to 1.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.66288,0.6618860000000001,0.67588,0.002,1.0,0.0,1.0
erdos_renyi,8,2,1,QTL linear schedule to 1.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8209800000000002,0.8217500000000001,0.82944,0.06839999999999999,1.0,0.0,1.0
erdos_renyi,8,2,1,QTL linear schedule to 1.20,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8682400000000001,0.8662220000000002,0.87546,0.13319999999999999,1.2,0.0,1.2
erdos_renyi,8,2,1,QTL linear schedule to 1.20,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6584,0.6599800000000001,0.6770200000000001,0.003,1.2,0.0,1.2
erdos_renyi,8,2,1,QTL linear schedule to 1.20,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8682400000000001,0.8662340000000001,0.87492,0.13319999999999999,1.2,0.0,1.2
erdos_renyi,8,2,1,QTL linear schedule to 1.20,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6612600000000001,0.65954,0.6767999999999998,0.003,1.2,0.0,1.2
erdos_renyi,8,2,1,QTL linear schedule to 1.20,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.81836,0.819822,0.82918,0.0692,1.2,0.0,1.2
erdos_renyi,8,2,1,QTL linear schedule to 1.40,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.86434,0.8641119999999999,0.87538,0.1346,1.4,0.0,1.4
erdos_renyi,8,2,1,QTL linear schedule to 1.40,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.65564,0.658204,0.6762600000000001,0.0038,1.4,0.0,1.4
erdos_renyi,8,2,1,QTL linear schedule to 1.40,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8644400000000001,0.86409,0.87422,0.13440000000000002,1.4,0.0,1.4
erdos_renyi,8,2,1,QTL linear schedule to 1.40,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.65574,0.6583080000000001,0.6768000000000001,0.0028,1.4,0.0,1.4
erdos_renyi,8,2,1,QTL linear schedule to 1.40,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8161000000000002,0.8181140000000001,0.82958,0.07100000000000001,1.4,0.0,1.4
erdos_renyi,8,2,1,QTL linear schedule to 1.60,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.86234,0.862046,0.8748799999999999,0.1356,1.6,0.0,1.6
erdos_renyi,8,2,1,QTL linear schedule to 1.60,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6535599999999999,0.6565920000000001,0.67448,0.0048000000000000004,1.6,0.0,1.6
erdos_renyi,8,2,1,QTL linear schedule to 1.60,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8622799999999999,0.862008,0.87442,0.1356,1.6,0.0,1.6
erdos_renyi,8,2,1,QTL linear schedule to 1.60,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6553599999999999,0.65716,0.67436,0.0042,1.6,0.0,1.6
erdos_renyi,8,2,1,QTL linear schedule to 1.60,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8146800000000001,0.8166419999999999,0.82864,0.0716,1.6,0.0,1.6
erdos_renyi,8,2,1,QTL linear schedule to 2.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8575799999999999,0.8588699999999999,0.87456,0.1376,2.0,0.0,2.0
erdos_renyi,8,2,1,QTL linear schedule to 2.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6472399999999999,0.651294,0.6745,0.0074,2.0,0.0,2.0
erdos_renyi,8,2,1,QTL linear schedule to 2.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8575600000000001,0.8588720000000001,0.8737400000000001,0.1376,2.0,0.0,2.0
erdos_renyi,8,2,1,QTL linear schedule to 2.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.65334,0.654618,0.6728799999999999,0.0066,2.0,0.0,2.0
erdos_renyi,8,2,1,QTL linear schedule to 2.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8131400000000001,0.813782,0.8279,0.0722,2.0,0.0,2.0
erdos_renyi,8,2,1,QTL linear schedule to 2.50,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.85232,0.8539299999999999,0.8748000000000001,0.13840000000000002,2.5,0.0,2.5
erdos_renyi,8,2,1,QTL linear schedule to 2.50,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.61422,0.6238999999999999,0.67408,0.039,2.5,0.0,2.5
